X,id,idLink,region,site,LandUse,SoilOrder,Year,pH,totalC,totalN,AMN,OlsenP_LR,OlsenP_Hills,bulkDensity,macroporosity-m05,macroporosity-m10,macroporositymin,macroporositymax,soillanduse,pHmin,pHmax,OlsenPmin,OlsenPmax,bulkDensitymin,bulkDensitymax,AMNmin,TotalNmin,TotalNmax,TotalCmin,OlsenP,macroporosity,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS
1109,1448,1448,Wellington,Wellington/1448,Drystock,Recent,2008,6.14,4.81,0.45,145,85,,1.291,6.7,8.567,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,85,8.567,within,within,below,above,within,within,within,within,below
1110,1476,1448,Wellington,Wellington/1448,Drystock,Recent,2015,5.93,3.771,0.367,103.771,57.381,41,1.07,8.033,9.2,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,49.1905,9.2,within,within,below,above,within,within,within,within,below
1111,1449,1449,Wellington,Wellington/1449,Drystock,Brown,2008,5.24,8.6,0.8,257,46,,0.981,13.167,15,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,46,15,within,within,within,above,within,above,within,above,within
1112,1471,1449,Wellington,Wellington/1449,Drystock,Brown,2015,5.29,6.266,0.558,221.508,27.946,13,0.807,14.033,17.8,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,20.473,17.8,within,within,within,within,within,within,within,within,within
1113,1451,1451,Wellington,Wellington/1451,Drystock,Pallic,2008,5.78,11,0.87,176,30,,0.77,21.833,25.433,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,30,25.433,within,within,within,within,within,above,within,above,within
1114,1463,1451,Wellington,Wellington/1451,Drystock,Pallic,2015,5.51,10.62,0.869,194.49,33.476,22,0.85,15.1,17.267,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,27.738,17.267,within,within,within,within,within,above,within,above,within
1115,1452,1452,Wellington,Wellington/1452,Drystock,Recent,2008,5.69,3.57,0.32,112,19,,1.126,15.1,21.967,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,19,21.967,within,within,within,within,within,within,within,within,within
1116,1484,1452,Wellington,Wellington/1452,Drystock,Recent,2015,5.39,5.092,0.465,140.806,23.405,15,0.88,12.6,16.1,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,19.2025,16.1,within,within,within,within,within,within,within,within,within
1117,1453,1453,Wellington,Wellington/1453,Drystock,Pallic,2008,5.34,4.47,0.38,117,21,,1.22,10,11.967,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,21,11.967,within,within,within,within,within,within,within,within,within
1118,1469,1453,Wellington,Wellington/1453,Drystock,Pallic,2015,5.65,4.573,0.401,110.255,14.642,13,1.017,9.167,12.1,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,13.821,12.1,within,within,within,below,within,within,within,within,within
1119,1454,1454,Wellington,Wellington/1454,Drystock,Brown,2008,5.6,6.71,0.55,157,10,,0.913,15.467,18.967,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,10,18.967,within,within,within,below,within,within,within,within,within
1120,1468,1454,Wellington,Wellington/1454,Drystock,Brown,2015,5.64,6.027,0.546,158.932,8.952,6,0.847,7.167,12.2,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,7.476,12.2,within,within,within,below,within,within,within,within,within
1121,1455,1455,Wellington,Wellington/1455,Drystock,Brown,2008,6.5,5.18,0.45,117,12,,0.975,14.033,17.2,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,12,17.2,within,within,within,below,within,within,within,within,within
1122,1467,1455,Wellington,Wellington/1455,Drystock,Brown,2015,5.19,8.277,0.695,175.801,16.598,9,0.87,8.6,13.833,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,12.799,13.833,within,within,within,below,within,within,within,within,within
1123,1456,1456,Wellington,Wellington/1456,Drystock,Gley,2008,5.98,5.01,0.45,157,9,,0.974,6.6,9.967,10,30,Gley/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,9,9.967,within,within,below,below,within,within,within,within,below
1124,1466,1456,Wellington,Wellington/1456,Drystock,Gley,2015,5.7,4.306,0.398,104.123,13.493,9,1.13,2.1,3.1,10,30,Gley/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,11.2465,3.1,within,within,below,below,within,within,within,within,below
